picId,clientId,name,unidade,quantidade_linhas_unidade,lat,lon,init_time,forecast_horizon_hours,forecast_timestamp,ensemble_member,temperature_c,precipitation_6hr_mm,wind_speed_10m_ms,sea_level_pressure_pa
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,2,33.98,0.0,1.58,101457.2
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,3,34.31,0.0,1.65,101431.2
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,4,34.5,0.0,1.86,101440.5
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,5,34.14,0.0,1.16,101434.1
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,6,34.62,0.0,2.09,101426.3
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,7,34.56,0.0,2.06,101437.4
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,8,33.56,0.0,1.07,101493.6
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,9,33.82,0.0,1.42,101430.3
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,10,33.87,0.003,1.47,101443.2
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,11,34.19,0.0,1.83,101424.7
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,12,33.39,0.0,1.6,101492.2
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,13,33.47,0.0,1.91,101495.5
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,14,33.29,0.0,1.2,101475.4
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,15,33.89,0.0,1.39,101455.5
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,16,34.23,0.0,2.42,101462.7
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,17,33.43,0.003,2.18,101454.6
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,18,34.97,0.0,1.69,101406.1
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,19,33.5,0.022,0.64,101476.0
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,20,33.89,0.002,2.82,101452.3
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,21,33.23,0.042,1.24,101501.8
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,22,34.38,0.0,2.04,101450.2
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,23,34.07,0.0,1.15,101419.1
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,24,34.46,0.0,1.12,101431.0
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,25,34.04,0.0,1.82,101466.5
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,26,33.36,0.134,2.16,101492.7
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,27,33.64,0.0,1.9,101440.3
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,28,34.09,0.0,2.27,101438.5
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,29,33.74,0.0,1.4,101491.7
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,30,33.7,0.0,1.95,101461.8
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,31,34.04,0.0,2.6,101441.0
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,32,34.41,0.0,1.88,101482.8
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,33,34.21,0.0,1.52,101439.5
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,34,33.48,0.0,1.86,101490.6
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,35,33.72,0.0,1.81,101431.4
