picId,clientId,name,unidade,lat,lon,rodada_init_time,data_hora_observacao,temp_media_c,temp_min_c,temp_max_c,precipitacao_6h_media_mm,precipitacao_6h_max_mm,vento_medio_ms,vento_rajada_max_ms,pressao_mar_pa
26015,2314,UMV_410205,UMV,-17.801945,-52.973335,2026-07-01 00:00:00,2026-07-01 06:00:00,16.57,15.16,17.82,0.002,0.032,1.73,2.74,101553.2
25904,2314,UMV_410209,UMV,-17.695635,-52.945965,2026-07-01 00:00:00,2026-07-01 06:00:00,16.57,15.16,17.82,0.002,0.032,1.73,2.74,101553.2
10725,2314,UMV_410228,UMV,-17.97149,-53.04733,2026-07-01 00:00:00,2026-07-01 06:00:00,16.79,15.42,17.93,0.001,0.016,1.88,3.11,101574.6
22596,2314,UMV_410237,UMV,-17.63743,-53.08039,2026-07-01 00:00:00,2026-07-01 06:00:00,16.57,15.16,17.82,0.002,0.032,1.73,2.74,101553.2
26086,2314,UMV_410247,UMV,-17.7553,-53.054473,2026-07-01 00:00:00,2026-07-01 06:00:00,16.57,15.16,17.82,0.002,0.032,1.73,2.74,101553.2
26061,2314,UMV_418246,UMV,-17.627,-53.1307,2026-07-01 00:00:00,2026-07-01 06:00:00,16.93,14.69,18.28,0.001,0.012,2.21,3.01,101538.0
26088,2314,UMV_418259,UMV,-17.73877,-52.76438,2026-07-01 00:00:00,2026-07-01 06:00:00,17.13,15.65,18.79,0.001,0.017,2.02,2.95,101536.3
25290,2314,UMV_419033,UMV,-17.49263,-52.68559,2026-07-01 00:00:00,2026-07-01 06:00:00,18.56,16.68,20.62,0.001,0.007,2.47,3.47,101558.7
26050,2314,UMV_419132,UMV,-17.56163,-52.87835,2026-07-01 00:00:00,2026-07-01 06:00:00,16.75,15.02,18.67,0.002,0.026,1.77,2.92,101515.6
26224,2314,URC_210000,URC,-18.79607,-51.00996,2026-07-01 00:00:00,2026-07-01 06:00:00,19.59,18.68,20.91,0.001,0.009,3.26,4.07,101541.5
25626,2314,URC_210004,URC,-18.851838,-51.059379,2026-07-01 00:00:00,2026-07-01 06:00:00,19.59,18.68,20.91,0.001,0.009,3.26,4.07,101541.5
26176,2314,URC_210010,URC,-18.79015,-51.11736,2026-07-01 00:00:00,2026-07-01 06:00:00,19.59,18.68,20.91,0.001,0.009,3.26,4.07,101541.5
25510,2314,URC_210012,URC,-18.917304,-50.889894,2026-07-01 00:00:00,2026-07-01 06:00:00,19.68,18.59,20.71,0.001,0.005,3.37,4.98,101528.6
17218,2314,URC_210017,URC,-18.908012,-50.967876,2026-07-01 00:00:00,2026-07-01 06:00:00,19.68,18.59,20.71,0.001,0.005,3.37,4.98,101528.6
26178,2314,URC_210046,URC,-18.77154,-51.28472,2026-07-01 00:00:00,2026-07-01 06:00:00,18.61,16.96,20.11,0.001,0.007,2.73,3.74,101530.5
26228,2314,URC_210057,URC,-18.92968,-51.07291,2026-07-01 00:00:00,2026-07-01 06:00:00,19.68,18.59,20.71,0.001,0.005,3.37,4.98,101528.6
19475,2314,URC_210059,URC,-18.71898,-51.22087,2026-07-01 00:00:00,2026-07-01 06:00:00,18.61,16.96,20.11,0.001,0.007,2.73,3.74,101530.5
26235,2314,URC_210060,URC,-18.990916,-50.865204,2026-07-01 00:00:00,2026-07-01 06:00:00,19.93,18.72,21.19,0.001,0.007,3.73,5.48,101554.7
26221,2314,URC_210100,URC,-19.09241,-51.13248,2026-07-01 00:00:00,2026-07-01 06:00:00,18.99,17.52,20.65,0.001,0.006,2.87,3.85,101519.8
26186,2314,URC_210119,URC,-18.939597,-50.928263,2026-07-01 00:00:00,2026-07-01 06:00:00,19.68,18.59,20.71,0.001,0.005,3.37,4.98,101528.6
13511,2314,URC_210130,URC,-18.85748,-50.9858,2026-07-01 00:00:00,2026-07-01 06:00:00,19.59,18.68,20.91,0.001,0.009,3.26,4.07,101541.5
25737,2314,URC_210157,URC,-18.992915,-50.983234,2026-07-01 00:00:00,2026-07-01 06:00:00,19.68,18.59,20.71,0.001,0.005,3.37,4.98,101528.6
26216,2314,URC_210166,URC,-18.90619,-51.13138,2026-07-01 00:00:00,2026-07-01 06:00:00,18.99,17.52,20.65,0.001,0.006,2.87,3.85,101519.8
26237,2314,URC_210213,URC,-19.12862,-51.03129,2026-07-01 00:00:00,2026-07-01 06:00:00,19.68,18.4,20.51,0.001,0.006,3.3,4.6,101527.0
25706,2314,URC_210227,URC,-18.71007,-50.98108,2026-07-01 00:00:00,2026-07-01 06:00:00,19.59,18.68,20.91,0.001,0.009,3.26,4.07,101541.5
25746,2314,URC_210235,URC,-18.86963,-51.029703,2026-07-01 00:00:00,2026-07-01 06:00:00,19.59,18.68,20.91,0.001,0.009,3.26,4.07,101541.5
26236,2314,URC_219013,URC,-18.72273,-51.03543,2026-07-01 00:00:00,2026-07-01 06:00:00,19.59,18.68,20.91,0.001,0.009,3.26,4.07,101541.5
26052,2314,URC_219047,URC,-18.81054,-50.76714,2026-07-01 00:00:00,2026-07-01 06:00:00,18.75,17.32,19.64,0.001,0.03,2.86,3.71,101600.3
13768,2314,URC_219052,URC,-18.69837,-50.87841,2026-07-01 00:00:00,2026-07-01 06:00:00,19.59,18.68,20.91,0.001,0.009,3.26,4.07,101541.5
23991,2314,URC_219053 II,URC,-18.83906,-50.7905,2026-07-01 00:00:00,2026-07-01 06:00:00,18.75,17.32,19.64,0.001,0.03,2.86,3.71,101600.3
14934,2314,URC_219081,URC,-18.76639,-50.85,2026-07-01 00:00:00,2026-07-01 06:00:00,18.75,17.32,19.64,0.001,0.03,2.86,3.71,101600.3
26200,2314,URC_219101,URC,-18.80686,-50.82792,2026-07-01 00:00:00,2026-07-01 06:00:00,18.75,17.32,19.64,0.001,0.03,2.86,3.71,101600.3
21800,2314,URC_219110,URC,-19.047334,-50.834288,2026-07-01 00:00:00,2026-07-01 06:00:00,19.93,18.72,21.19,0.001,0.007,3.73,5.48,101554.7
26223,2314,URC_219111,URC,-19.009897,-50.746663,2026-07-01 00:00:00,2026-07-01 06:00:00,19.93,18.72,21.19,0.001,0.007,3.73,5.48,101554.7
